dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.004619,12.5211,1.5950,0.2790,1,584.647,-1409.482
0.1000,0.005293,-1.0000,1.5950,-0.9875,1,584.647,-1409.482
0.1000,0.005784,-1.0000,1.5950,-0.6082,1,584.647,-1409.482
0.1000,0.004521,-1.0000,1.5950,-0.3141,1,584.647,-1409.482
0.1000,0.006364,-1.0000,1.5950,0.1941,1,584.647,-1409.482
0.1000,0.005433,-1.0000,1.5950,-0.3084,1,584.647,-1409.482
0.1000,0.004699,-1.0000,1.5950,0.4217,1,584.647,-1409.482
0.1000,0.005061,-1.0000,1.5950,1.0259,1,584.647,-1409.482
0.1000,0.005503,-1.0000,1.5950,-1.3047,1,584.647,-1409.482
0.1000,0.006831,-1.0000,1.5950,-1.8341,1,584.647,-1409.482
0.1000,0.005304,13.2658,1.7676,-0.1208,1,584.647,-1409.482
0.1000,0.006124,-1.0000,1.7676,-1.4289,1,584.647,-1409.482
0.1000,0.004279,-1.0000,1.7676,-0.9677,1,584.647,-1409.482
0.1000,0.006436,-1.0000,1.7676,-2.0614,1,584.647,-1409.482
0.1000,0.004352,-1.0000,1.7676,1.4292,1,584.647,-1409.482
0.1000,0.003808,-1.0000,1.7676,1.5466,1,584.647,-1409.482
0.1000,0.005700,-1.0000,1.7676,0.3303,1,584.647,-1409.482
0.1000,0.007313,-1.0000,1.7676,2.7716,1,584.647,-1409.482
0.1000,0.004668,-1.0000,1.7676,0.4844,1,584.647,-1409.482
0.1000,0.006065,-1.0000,1.7676,-1.3355,1,584.647,-1409.482
0.1000,0.004273,16.9585,2.1659,2.2225,1,584.647,-1409.482
0.1000,0.004934,-1.0000,2.1659,-0.0209,1,584.647,-1409.482
0.1000,0.006592,-1.0000,2.1659,0.5852,1,584.647,-1409.482
0.1000,0.004971,-1.0000,2.1659,0.7869,1,584.647,-1409.482
0.1000,0.005807,-1.0000,2.1659,-1.7579,1,584.647,-1409.482
0.1000,0.004640,-1.0000,2.1659,0.1513,1,584.647,-1409.482
0.1000,0.006445,-1.0000,2.1659,-1.2367,1,584.647,-1409.482
0.1000,0.004880,-1.0000,2.1659,-1.3481,1,584.647,-1409.482
0.1000,0.004335,-1.0000,2.1659,-0.6512,1,584.647,-1409.482
0.1000,0.004568,-1.0000,2.1659,-1.1153,1,584.647,-1409.482
0.1000,0.004995,13.7682,1.7537,-1.7382,1,584.647,-1409.482
0.1000,0.004623,-1.0000,1.7537,-1.8593,1,584.647,-1409.482
0.1000,0.006567,-1.0000,1.7537,0.6465,1,584.647,-1409.482
0.1000,0.004264,-1.0000,1.7537,-1.0037,1,584.647,-1409.482
0.1000,0.006778,-1.0000,1.7537,-0.3053,1,584.647,-1409.482
0.1000,0.004530,-1.0000,1.7537,-1.0672,1,584.647,-1409.482
0.1000,0.004437,-1.0000,1.7537,-0.3981,1,584.647,-1409.482
0.1000,0.006894,-1.0000,1.7537,1.0627,1,584.647,-1409.482
0.1000,0.005527,-1.0000,1.7537,-0.7236,1,584.647,-1409.482
0.1000,0.005843,-1.0000,1.7537,-0.5598,1,584.647,-1409.482
0.1000,0.006836,16.2484,2.1533,-0.3265,1,584.647,-1409.482
0.1000,0.004331,-1.0000,2.1533,-0.9690,1,584.647,-1409.482
0.1000,0.004476,-1.0000,2.1533,-0.2613,1,584.647,-1409.482
0.1000,0.006867,-1.0000,2.1533,0.6529,1,584.647,-1409.482
0.1000,0.005801,-1.0000,2.1533,1.2762,1,584.647,-1409.482
0.1000,0.004333,-1.0000,2.1533,-0.8458,1,584.647,-1409.482
0.1000,0.006361,-1.0000,2.1533,0.4250,1,584.647,-1409.482
0.1000,0.005385,-1.0000,2.1533,-0.2516,1,584.647,-1409.482
0.1000,0.005466,-1.0000,2.1533,3.2840,1,584.647,-1409.482
0.1000,0.005738,-1.0000,2.1533,-1.8297,1,584.647,-1409.482
0.1000,0.006088,16.5831,2.2275,1.9649,1,584.647,-1409.482
0.1000,0.006356,-1.0000,2.2275,-0.6475,1,584.647,-1409.482
0.1000,0.005045,-1.0000,2.2275,-3.0889,1,584.647,-1409.482
0.1000,0.005162,-1.0000,2.2275,-2.2314,1,584.647,-1409.482
0.1000,0.004773,-1.0000,2.2275,-2.2969,1,584.647,-1409.482
0.1000,0.005914,-1.0000,2.2275,-1.8383,1,584.647,-1409.482
0.1000,0.005191,-1.0000,2.2275,2.0401,1,584.647,-1409.482
